party,total_allocation,state_component,iplc_component,WB Income Group,UN LDC,CBD Party,EU,un_band,un_band_weight
Morocco,6.2517760727479414,3.1258880363739707,3.1258880363739707,Lower middle income,-,Party,Non-EU,Band 3: 0.01% - 0.1%,1.1
Paraguay,6.2517760727479414,3.1258880363739707,3.1258880363739707,Upper middle income,-,Party,Non-EU,Band 3: 0.01% - 0.1%,1.1
Serbia,6.2517760727479414,3.1258880363739707,3.1258880363739707,Upper middle income,-,Party,Non-EU,Band 3: 0.01% - 0.1%,1.1
Sri Lanka,6.2517760727479414,3.1258880363739707,3.1258880363739707,Lower middle income,-,Party,Non-EU,Band 3: 0.01% - 0.1%,1.1
Trinidad and Tobago,6.2517760727479414,3.1258880363739707,3.1258880363739707,High income,-,Party,Non-EU,Band 3: 0.01% - 0.1%,1.1
Tunisia,6.2517760727479414,3.1258880363739707,3.1258880363739707,Lower middle income,-,Party,Non-EU,Band 3: 0.01% - 0.1%,1.1
Turkmenistan,6.2517760727479414,3.1258880363739707,3.1258880363739707,Upper middle income,-,Party,Non-EU,Band 3: 0.01% - 0.1%,1.1
Ukraine,6.2517760727479414,3.1258880363739707,3.1258880363739707,Upper middle income,-,Party,Non-EU,Band 3: 0.01% - 0.1%,1.1
Uzbekistan,6.2517760727479414,3.1258880363739707,3.1258880363739707,Lower middle income,-,Party,Non-EU,Band 3: 0.01% - 0.1%,1.1
Venezuela (Bolivarian Republic of),6.2517760727479414,3.1258880363739707,3.1258880363739707,Lower middle income,-,Party,Non-EU,Band 3: 0.01% - 0.1%,1.1
Argentina,5.399261153736858,2.699630576868429,2.699630576868429,Upper middle income,-,Party,Non-EU,Band 4: 0.1% - 1.0%,0.95
Colombia,5.399261153736858,2.699630576868429,2.699630576868429,Upper middle income,-,Party,Non-EU,Band 4: 0.1% - 1.0%,0.95
Cuba,5.399261153736858,2.699630576868429,2.699630576868429,Upper middle income,-,Party,Non-EU,Band 4: 0.1% - 1.0%,0.95
Egypt,5.399261153736858,2.699630576868429,2.699630576868429,Lower middle income,-,Party,Non-EU,Band 4: 0.1% - 1.0%,0.95
Indonesia,5.399261153736858,2.699630576868429,2.699630576868429,Upper middle income,-,Party,Non-EU,Band 4: 0.1% - 1.0%,0.95
Iran (Islamic Republic of),5.399261153736858,2.699630576868429,2.699630576868429,Upper middle income,-,Party,Non-EU,Band 4: 0.1% - 1.0%,0.95
Iraq,5.399261153736858,2.699630576868429,2.699630576868429,Upper middle income,-,Party,Non-EU,Band 4: 0.1% - 1.0%,0.95
Kazakhstan,5.399261153736858,2.699630576868429,2.699630576868429,Upper middle income,-,Party,Non-EU,Band 4: 0.1% - 1.0%,0.95
Malaysia,5.399261153736858,2.699630576868429,2.699630576868429,Upper middle income,-,Party,Non-EU,Band 4: 0.1% - 1.0%,0.95
Nigeria,5.399261153736858,2.699630576868429,2.699630576868429,Lower middle income,-,Party,Non-EU,Band 4: 0.1% - 1.0%,0.95
Pakistan,5.399261153736858,2.699630576868429,2.699630576868429,Lower middle income,-,Party,Non-EU,Band 4: 0.1% - 1.0%,0.95
Peru,5.399261153736858,2.699630576868429,2.699630576868429,Upper middle income,-,Party,Non-EU,Band 4: 0.1% - 1.0%,0.95
Philippines,5.399261153736858,2.699630576868429,2.699630576868429,Lower middle income,-,Party,Non-EU,Band 4: 0.1% - 1.0%,0.95
Singapore,5.399261153736858,2.699630576868429,2.699630576868429,High income,-,Party,Non-EU,Band 4: 0.1% - 1.0%,0.95
South Africa,5.399261153736858,2.699630576868429,2.699630576868429,Upper middle income,-,Party,Non-EU,Band 4: 0.1% - 1.0%,0.95
Thailand,5.399261153736858,2.699630576868429,2.699630576868429,Upper middle income,-,Party,Non-EU,Band 4: 0.1% - 1.0%,0.95
Türkiye,5.399261153736858,2.699630576868429,2.699630576868429,Upper middle income,-,Party,Non-EU,Band 4: 0.1% - 1.0%,0.95
Viet Nam,5.399261153736858,2.699630576868429,2.699630576868429,Lower middle income,-,Party,Non-EU,Band 4: 0.1% - 1.0%,0.95
Brazil,4.262574595055414,2.131287297527707,2.131287297527707,Upper middle income,-,Party,Non-EU,Band 5: 1.0% - 10.0%,0.75
India,4.262574595055414,2.131287297527707,2.131287297527707,Lower middle income,-,Party,Non-EU,Band 5: 1.0% - 10.0%,0.75
Mexico,4.262574595055414,2.131287297527707,2.131287297527707,Upper middle income,-,Party,Non-EU,Band 5: 1.0% - 10.0%,0.75
China,2.2733731173628877,1.1366865586814439,1.1366865586814439,Upper middle income,-,Party,Non-EU,Band 6: > 10.0%,0.4
Andorra,0,0,0,High income,-,Party,Non-EU,,1
Australia,0,0,0,High income,-,Party,Non-EU,,1
Austria,0,0,0,High income,-,Party,EU Member,,1
Bahrain,0,0,0,High income,-,Party,Non-EU,,1
Belgium,0,0,0,High income,-,Party,EU Member,,1
Brunei Darussalam,0,0,0,High income,-,Party,Non-EU,,1
Bulgaria,0,0,0,High income,-,Party,EU Member,,1
Canada,0,0,0,High income,-,Party,Non-EU,,1
Chile,0,0,0,High income,-,Party,Non-EU,,1
Costa Rica,0,0,0,High income,-,Party,Non-EU,,1
Croatia,0,0,0,High income,-,Party,EU Member,,1
Cyprus,0,0,0,High income,-,Party,EU Member,,1
Czechia,0,0,0,High income,-,Party,EU Member,,1
Denmark,0,0,0,High income,-,Party,EU Member,,1
Estonia,0,0,0,High income,-,Party,EU Member,,1
European Union,0,0,0,High income,-,Party,Non-EU,,1
Finland,0,0,0,High income,-,Party,EU Member,,1
France,0,0,0,High income,-,Party,EU Member,,1
Germany,0,0,0,High income,-,Party,EU Member,,1
Greece,0,0,0,High income,-,Party,EU Member,,1
Hungary,0,0,0,High income,-,Party,EU Member,,1
Iceland,0,0,0,High income,-,Party,Non-EU,,1
Ireland,0,0,0,High income,-,Party,EU Member,,1
Israel,0,0,0,High income,-,Party,Non-EU,,1
Italy,0,0,0,High income,-,Party,EU Member,,1
Japan,0,0,0,High income,-,Party,Non-EU,,1
Kuwait,0,0,0,High income,-,Party,Non-EU,,1
Latvia,0,0,0,High income,-,Party,EU Member,,1
Liechtenstein,0,0,0,High income,-,Party,Non-EU,,1
Lithuania,0,0,0,High income,-,Party,EU Member,,1
Luxembourg,0,0,0,High income,-,Party,EU Member,,1
Malta,0,0,0,High income,-,Party,EU Member,,1
Monaco,0,0,0,High income,-,Party,Non-EU,,1
Netherlands (Kingdom of the),0,0,0,High income,-,Party,Non-EU,,1
New Zealand,0,0,0,High income,-,Party,Non-EU,,1
Norway,0,0,0,High income,-,Party,Non-EU,,1
Oman,0,0,0,High income,-,Party,Non-EU,,1
Panama,0,0,0,High income,-,Party,Non-EU,,1
Poland,0,0,0,High income,-,Party,EU Member,,1
Portugal,0,0,0,High income,-,Party,EU Member,,1
Qatar,0,0,0,High income,-,Party,Non-EU,,1
Republic of Korea,0,0,0,High income,-,Party,Non-EU,,1
Romania,0,0,0,High income,-,Party,EU Member,,1
Russian Federation,0,0,0,High income,-,Party,Non-EU,,1
San Marino,0,0,0,High income,-,Party,Non-EU,,1
Saudi Arabia,0,0,0,High income,-,Party,Non-EU,,1
Slovakia,0,0,0,High income,-,Party,EU Member,,1
Slovenia,0,0,0,High income,-,Party,EU Member,,1
Spain,0,0,0,High income,-,Party,EU Member,,1
Sweden,0,0,0,High income,-,Party,EU Member,,1
Switzerland,0,0,0,High income,-,Party,Non-EU,,1
United Arab Emirates,0,0,0,High income,-,Party,Non-EU,,1
United Kingdom of Great Britain and Northern Ireland,0,0,0,High income,-,Party,Non-EU,,1
United States of America,0,0,0,High income,-,Non-Party,Non-EU,,1
Uruguay,0,0,0,High income,-,Party,Non-EU,,1
Total,1000,500,500,,,,,,230.95000000000002
